pas_de_temps,px moyen,px min,px max,count sample
2025-11-07T20:15:00,106.733333333333,106,108,30
2025-11-07T20:30:00,109.4,107,111,30
2025-11-07T20:45:00,104,102,106,30
2025-11-07T21:00:00,109,107,112,30
2025-11-07T21:15:00,124.1,116,133,30
2025-11-07T21:30:00,107.866666666667,107,110,30
2025-11-07T21:45:00,104.766666666667,104,106,30
2025-11-07T22:00:00,127.966666666667,125,130,30
2025-11-07T22:15:00,108.033333333333,106,111,30
2025-11-07T22:30:00,109.533333333333,107,111,30
2025-11-07T22:45:00,147.8,147,149,30
2025-11-07T23:00:00,119.7,119,121,30
2025-11-07T23:15:00,137.866666666667,122,151,30
2025-11-07T23:30:00,158.266666666667,156,161,30
2025-11-07T23:45:00,162.2,161,163,30
2025-11-08T00:00:00,158.933333333333,158,159,30
2025-11-08T00:15:00,154.733333333333,152,157,30
2025-11-08T00:30:00,139.4,124,150,30
2025-11-08T00:45:00,156.2,155,157,30
2025-11-08T01:00:00,110.866666666667,110,112,30
2025-11-08T01:15:00,130.2,117,140,30
2025-11-08T01:30:00,157.366666666667,156,159,30
2025-11-08T01:45:00,156.9,155,160,30
2025-11-08T02:00:00,162.733333333333,161,164,30
2025-11-08T02:15:00,158.866666666667,158,160,30
2025-11-08T02:30:00,146.6,133,150,30
2025-11-08T02:45:00,150.333333333333,149,153,30
2025-11-08T03:00:00,163.733333333333,162,166,30
2025-11-08T03:15:00,156.2,153,160,30
2025-11-08T03:30:00,152.966666666667,149,157,30
2025-11-08T03:45:00,163.2,162,164,30
2025-11-08T04:00:00,145.3,141,151,30
2025-11-08T04:15:00,156.3,154,158,30
2025-11-08T04:30:00,122.133333333333,117,129,30
2025-11-08T04:45:00,150.7,147,156,30
2025-11-08T05:00:00,150.133333333333,145,156,30
2025-11-08T05:15:00,159.333333333333,157,161,30
2025-11-08T05:30:00,134.166666666667,129,145,30
2025-11-08T05:45:00,169.133333333333,167,170,30
2025-11-08T06:00:00,187.566666666667,186,188,30
2025-11-08T06:15:00,168.1,168,169,30
2025-11-08T06:30:00,163.033333333333,162,164,30
2025-11-08T06:45:00,168.866666666667,168,169,30
2025-11-08T07:00:00,167.366666666667,167,168,30
2025-11-08T07:15:00,162.066666666667,117,166,30
2025-11-08T07:30:00,168.3,168,169,30
2025-11-08T07:45:00,162,162,162,30
2025-11-08T08:15:00,166.966666666667,166,167,30
2025-11-08T08:30:00,167,167,167,30
2025-11-08T08:45:00,165.6,164,166,30
2025-11-08T09:00:00,166.8,165,167,30
2025-11-08T09:15:00,166.733333333333,166,168,30
2025-11-08T09:30:00,162.866666666667,162,163,30
2025-11-08T09:45:00,168,168,168,30
2025-11-08T10:00:00,164.8,164,165,30
2025-11-08T10:15:00,163.033333333333,162,164,30
2025-11-08T10:30:00,163.566666666667,163,164,30
2025-11-08T10:45:00,157.833333333333,157,159,30
2025-11-08T11:00:00,154.633333333333,154,155,30
2025-11-08T11:15:00,150.233333333333,150,151,30
2025-11-08T11:30:00,146.633333333333,146,147,30
2025-11-08T11:45:00,149.3,148,150,30
2025-11-08T12:00:00,148.1,148,149,30
2025-11-08T12:15:00,145.7,145,146,30
2025-11-08T12:30:00,146.3,146,147,30
2025-11-08T12:45:00,147.7,147,148,30
2025-11-08T13:00:00,148.233333333333,148,149,30
2025-11-08T13:15:00,160.7,160,162,30
2025-11-08T13:30:00,159.466666666667,156,162,30
2025-11-08T13:45:00,161.4,159,165,30
2025-11-08T14:00:00,144.933333333333,144,146,30
2025-11-08T14:15:00,170,168,173,30
2025-11-08T14:30:00,162.166666666667,161,164,30
2025-11-08T14:45:00,145.233333333333,144,146,30
2025-11-08T15:00:00,149.166666666667,149,150,30
2025-11-08T15:15:00,139.366666666667,138,142,30
2025-11-08T15:30:00,160.666666666667,160,161,30
2025-11-08T15:45:00,153.433333333333,153,155,30
2025-11-08T16:00:00,154.633333333333,152,157,30
2025-11-08T16:15:00,158.6,158,159,30
2025-11-08T16:30:00,155.4,154,158,30
2025-11-08T16:45:00,149.433333333333,140,154,30
2025-11-08T17:00:00,97.1,95,99,30
2025-11-08T17:15:00,106.666666666667,102,109,30
2025-11-08T17:30:00,109.833333333333,108,112,30
2025-11-08T17:45:00,108.533333333333,107,110,30
2025-11-08T18:00:00,112.5,112,114,30
2025-11-08T18:15:00,106.6,105,109,30
2025-11-08T18:30:00,108.233333333333,107,109,30
2025-11-08T18:45:00,100.166666666667,98,102,30
2025-11-08T19:00:00,98.8666666666667,98,100,30
2025-11-08T19:15:00,93.6333333333333,91,96,30
2025-11-08T19:30:00,110.6,109,112,30
2025-11-08T19:45:00,108.166666666667,106,111,30
2025-11-08T20:00:00,111.2,111,112,30
2025-11-08T20:15:00,100.966666666667,100,102,30
2025-11-08T20:30:00,108.466666666667,107,110,30
2025-11-08T20:45:00,110.6,109,112,30
2025-11-08T21:00:00,110,108,111,30
2025-11-08T21:15:00,107.4,105,110,30
2025-11-08T21:30:00,99.8,87,106,30
2025-11-08T21:45:00,111.666666666667,111,113,30
2025-11-08T22:00:00,107.8,106,110,30
2025-11-08T22:15:00,102.533333333333,101,104,30
2025-11-08T22:30:00,99.8666666666667,96,103,30
2025-11-08T22:45:00,104.133333333333,103,105,30
2025-11-08T23:00:00,108.333333333333,105,111,30
